name,url,descr
"

Психические и поведенческие расстройства, вызванные употреблением галлюциногенов
",http://www.prostodoctor.com.ua/spravochniki/bolezni/id/298,Этиология группе относится употребление психотомиметиков типа ЛСД  мескалина  псилоцибина  также фенциклидина  экстази        метилендиоксиметамфетамин   имеющих галлюциногенные  амфетаминовые эффекты .Используются per os  аппликации слизистые  сигаретах .Распространенность Развивается благодаря психоделическому движению современной культуре .Клиника Острая интоксикация Неконтролируемый смех  плач  изменение настроения  формальные расстройства мышления  эйфория  синестезии  деперсонализация дереализация .Фенциклидиновая интоксикация напоминает амфетаминовую .Употребление вредными последствиями соматическим симптомам относятся тахикардия  повышение АД  мидриаз  потливость  повышение температуры  тошнота  головокружение  психопатологическим   психическая тупость  депрессия .Синдром зависимости Преимущественно психическая зависимость .Синдром отмены Изменение настроения .Ярко выраженный синдром отмены отсутствует .Психотическое расстройство Шизофреноподобное расстройство симптомами деперсонализации дереализации  приступы паники  искаженное восприятие времени  зрительные слуховые псевдо  истинные галлюцинации  стереотипное повторение зрительных образов  идеи воздействия .Бредовые идеи отношения  значения преследования .Амнестический синдром Мало выражен .Резидуалыюе состояние психотическое расстройство отставленным дебютом Психическая тупость повторное возникновение зрительных деперсонализационных образов .Диагностика Основана данных анамнеза описании клиники интоксикации .Дифференциальная диагностика Дифференцируют шизофренией  шизоаффективным расстройством алкогольным делирием  органической нарколепсией основании катамнестического наблюдения  данных анамнеза .Терапия Назначение бензодиазепинов барбитуратов  детоксикация увеличение экскреции психоактивных веществ . .
"

Садомазохизм
",http://www.prostodoctor.com.ua/spravochniki/bolezni/id/346,Причиной садизма мазохизма является потребность отреагировании стремления доминированию  тревоги  чувства вины .Объект влечения некоторых чертах подвергаться агрессии считаться источником наказания  напоминает значимый образ детстве  которым связаны инцестуозные чувства .Агрессивность является биологической базой садизма  позиция хищника   субмиссивность  подчинение  виктивность  позиция жертвы     биологической базой мазохизма .развития садо мазохизма имеют значение совпадение наказания эротически значимого образа  также образа доминантной фигуры  матери  отца .Клиника садизме пациент получает удовольствие разрядку сексуальности стремлении доставлять боль  унижать  ставить другого иди других  гомо  гетеросексуальный объект  положение субмиссии  зависимости  .мазохизме пациент получает удовольствие разрядку сексуальности  доставляют боль  унижают другие  гомо  гетеросексуальный объект   также ставят положении жертвы субмиссии  зависимости  .поведение заключается смене позиции хищника позицию жертвы совмещении протяжении одного сексуального контакта .Диагностика Садизм предполагает такую половую активность  которая предполагает своем завершении отношению партнеру нанесение боли  унижений установление зависимости  мазохизм предполагает аналогичные действия  направленные самого индивидуума .Дифференциальная диагностика Следует дифференцировать садо мазохизм аномалиях личности изолированного расстройства форме садо мазохизма .Терапия Психотерапия  поведенческая терапия  психоанализ . .
"

Рекуррентное депрессивное расстройство
",http://www.prostodoctor.com.ua/spravochniki/bolezni/id/277,рекуррентном депрессивном расстройстве течение жизни больного происходит чередование депрессивных фаз .Первый эпизод обычно возникает возрасте     лет длится среднем   месяцев .     случаев второй эпизод депрессии наступает первого     месяцев .Вероятность повторных эпизодов повышается употреблении психоактивных веществ стрессовых ситуациях .рекуррентном депрессивном расстройстве периоды депрессии следуют другим  перемежаясь минимум двумя месяцами ремиссии .Проявления депрессии  Общее подавленное состояние настроение .Снижение аппетита .Сонливость .Снижение интереса жизни .Потеря удовольствия деятельности  которая ранее приятна .Повышенная утомляемость .Снижение самооценки чувства уверенности .Чувство вины самоосуждение .Мысли действия  приводящие самоповреждению суициду .Причины Существует генетическая предрасположенность развитию депрессивного рекуррентного расстройства .правило  первый эпизод депрессии провоцируется психотравмирующей ситуацией .Диагностика Депрессивное рекуррентное расстройство диагностируется психиатром основании крайней мере двух эпизодов депрессии  которыми период ремиссии менее двух месяцев .возникновении эпизода мании диагноз меняется биполярное аффективное расстройство .Лечение Выбор препаратов  комбинация длительность лечения зависят тяжести депрессии  возраста больного физического состояния .расстройство начинается позднем возрасте  особенно нежелательны побочные эффекты лекарств .Поэтому предпочтение оказывается антидепрессантам   селективным ингибиторам обратного захвата серотонина  СИОЗС . .
"

Пролапс [пролабирование] митрального клапана
",http://www.prostodoctor.com.ua/spravochniki/bolezni/id/579,Пролабирование  пролапс  митрального клапана  ПМК    это выбухание одной обеих створок полость левого предсердия .вход левый желудочек закрыт полностью образоваться отверстие  которое небольшое количество крови перемещаться обратно левого желудочка левое предсердие .Такое явление называется  митральная регургитация .зависимости объема возвращающейся крови регургитация бывает     степени .сегодняшний день ПМК обычно делят две группы    анатомический ПМК   ПМК синдром  связанный нарушением работы нервной эндокринной систем .Симптомы анатомическим ПМК относится первичный ПМК  наиболее часто встречающийся .Это врожденная патология  которой наследуется нарушение развития соединительной ткани .Такие пациенты обычно астенического телосложения  имеют нарушения костно мышечном аппарате  сколиоз позвоночника  плоскостопие  криволапость  расслабление связок .Жалобы пациентов  имеющих пролапс митрального клапана   боли грудной клетке  боли сердце  одышка  слабость  приступы сердцебиений перебои сердце .Боли области сердца чаще тупые  ноющие  колющие .Длятся долго обычно связаны физической нагрузкой .Нитроглицерин улучшает  наоборот ухудшить состояние .значительной части пациентов боли связаны сердцем .Это могут мышечные боли  иррадиация стороны желудочно кишечного тракта позвоночника .Одышка слабость обычно проявление нарушения функции нервной системы .Сердцебиения перебои области сердца могут субъективными ощущениями  проявлением нарушения сердечного ритма связанным ПМК . высокой степени митральной регургитации  могут возникать приступы пароксизмальной тахикардии  частота сердечных сокращений достигает     ударов минуту .Нарушения стороны нервной системы   приступы сильных головных болей правой левой половине головы  обмороки обморочные состояния  перепады настроения  вегетативные кризы  панические атаки  психо эмоциональные нарушения .пролабированном клапане осаждаются тромбоциты другие клетки крови  образуются тромбы миксоматозные  желеобразные  разрастания .небольшие фрагменты могут отрываться току крови попадать мозг вызывать небольшие инфаркты  инсульты  мозга .Диагностика Физикальный осмотр .ЭКГ  ФоноКГ  РГ  ЭхоКГ .Лечение большинстве случаев пролабирование митрального клапана   это случайная находка обследовании поводу других жалоб обычно лечение требуется .наличии пациента жалоб неврологического характера используется психотерапия  водные процедуры  массаж  иглорефлексотерапия .присутствуют эпизоды потери сознания нарушения ритма  имеются указания внезапную смерть коронарной недостаточности близкого родственника назначаются кардиопрепараты .наличии невротических нарушений используются транквилизаторы седативные препараты . .
"

Аортальная (клапанная) недостаточность
",http://www.prostodoctor.com.ua/spravochniki/bolezni/id/582,Аортальная недостаточность  недостаточность аортального клапана    клапанный порок  котором время диастолы полулунные створки аортального клапана полностью смыкаются  вследствие возникает диастолическая регургитация крови аорты обратно левый желудочек .Врожденная аортальная недостаточность развивается наличии одно   двух  четырехстворчатого клапана аорты вместо трехстворчатого .Причинами дефекта аортального клапана могут служить наследственные заболевания соединительной ткани  врожденная патология стенки аорты   аортоаннулярная эктазия  синдром Марфана  синдром Элерса Данлоса  муковисцидоз  врожденный остеопороз  болезнь Эрдгейма  обычно имеет место неполное смыкание пролапс аортального клапана .Основными причинами приобретенной органической аортальной недостаточности выступают ревматизм     случаев  септический эндокардит  атеросклероз  сифилис  ревматоидный артрит  системная красная волчанка  болезнь Такаясу  травматические повреждения клапана  Симптомы Клиническая классификация  выделяющая   стадий аортальной недостаточности    I   стадия полной компенсации .Начальные  аускультативные  признаки аортальной недостаточности отсутствии субъективных жалоб .II   стадия скрытой сердечной недостаточности .Характерно умеренное снижение толерантности физической нагрузке .данным ЭКГ выявляются признаки гипертрофии объемной перегрузки левого желудочка  учащенное сердцебиение  ощущений пульсации сосудах головы шеи  усиления сердечных толчков    III   стадия субкомпенсации аортальной недостаточности .Типичны ангинозные боли  вынужденное ограничение физической активности .ЭКГ рентгенограммах   гипертрофия левого желудочка  признаки вторичной коронарной недостаточности .Отмечаются мозговые симптомы  головокружение  головные боли  шум ушах  нарушения зрения  кратковременные обморочные состояния  особенно быстрой смене горизонтального положения тела вертикальное .IV   стадия декомпенсации аортальной недостаточности .дальнейшем мозговым симптомам присоединяется стенокардия  аритмия  экстрасистолия   одышка  повышенное потоотделение .Присоединение правожелудочковой недостаточности проявляет отеками гах  тяжестью болями правом подреберье .V   терминальная стадия аортальной недостаточности .Характеризуется прогрессирующей тотальной сердечной недостаточностью  глубокими дистрофическими процессами жизненно важных органах .Остро возникшая аортальная недостаточность протекает типу отека легких  сочетающегося артериальной гипотонией .отсутствии специальной кардиохирургической помощи летальность данном состоянии крайне высока .Диагностика Физикальные данные .ЭКГ  РГ  ЭхоКГ  фонокардиограмма   катетеризации сердца  МРТ  МСКТ .Лечение Легкая степень аортальной недостаточности бессимптомным течением лечения требует .Рекомендуется ограничение физических нагрузок  ежегодный осмотр кардиолога выполнением ЭхоКГ .бессимптомной умеренной аортальной недостаточности назначаются диуретики  блокаторы кальциевых каналов  АПФ ингибиторы  блокаторы рецепторов ангиотензина .целью профилактики инфекции проведении стоматологических хирургических манипуляций назначаются антибиотики .Оперативное лечение   пластика протезирование аортального клапана показано тяжелой симптоматической аортальной недостаточности .случае острой аортальной недостаточности вследствие расслаивания аневризмы травмы аорты производитсяпротезирование аортального клапана восходящего отдела аорты . .
"

Эссенциальный тремор
",http://www.prostodoctor.com.ua/spravochniki/bolezni/id/426,Эссенциальный тремор   наследственное заболевание  характеризующееся дрожанием рук  головы  голосовых мышц  которое усиливается движениях  попытке сохранить определённую позу прекращается засыпании .Заболевание мужчин начинается обычно   лет  женщин несколько позже .Считается       случаев диагностики ЭТ диагностируются ошибочно счет болезни Паркинсона других форм тремора .Клиника .Эссенциальный  семейный тремор  который обычно бывает медленным  усиленный физиологический тремор .Эссенциальный тремор вовлекать конечности  также голову  язык  губы  голосовые связки .Тремор усиливается стрессе тяжелых случаях приводить инвалидизации больного .Больные этим вариантом тремора часто имеют близких родственников  страдающих заболеванием .Однако локализация тяжесть тремора пределах одной семьи существенно варьируют .Конечности могут вовлекаться асимметрично  однако строго односторонний тремор обычно свидетельствует пользу иного заболевания .Тремор часто уменьшается приема алкоголя  усиливается кофеином  стрессом сопутствующим тиреотоксикозом  усиленный физиологический тремор .разных конечностях тремор бывает асинхронным   отличие синхронного тремора покоя болезни Паркинсона .связи этим больной  способный тремора одной рукой удержать чашку жидкостью  пролив  гораздо справляется задачей  придерживая чашку двумя руками   асинхронные движения рук частично гасят колебания друг друга .Диагностика .постановке диагноза целью врача становится исключение болезней подобными проявлениями  болезнь Паркинсона  побочное действие лекарственных средств .обследованием подразумевается осмотр невролога  анализ крови  биохимия  концентрация гормонов щитовидной железы .некоторых случаях необходимы ЭМГ  ЭЭГ  МРТ .Лечение .Легкий тремор требует лечения  достаточно успокоить больного уверить  болезни Паркинсона .тремор мешает работе быту либо вызывает психологический дискомфорт  назначают лечение  оно уменьшает тремор  полностью снимает .Тремор уменьшают противосудорожные лекарственные средства . .
"

Вагинизм неорганического происхождения
",http://www.prostodoctor.com.ua/spravochniki/bolezni/id/321,Вагинизм неорганической природы   судорожное сокращение мышц влагалища тазового дна  препятствующее проведению подового акта .некоторых случаях вагинизм возникает результат насилия  болезненной дефлорации  грубого поведения партнера попытке дефлорации .Однако чаще вагинизм развивается нерешительном поведении мужа определенных чертах характера жены  мнительность  обидчивость  тревожность  эмоциональная неустойчивость .Кроме  анамнезе большинства пациенток отмечаются детского возраста различные страхи  страх боли  темноты  воды  высоты .отдельных больных наряду обычными вагинизма жалобами отмечаются нарушение сна  дисморфофобии  периодические депрессии .Заключению брака вагинизме часто предшествуют дружба  школьной скамьи   затянувшиеся товарищеские отношения  нередко длительный петтинг .Пациентка  страдающая вагинизмом  характеризует своего мужа  идеального   любящего  заботливого  тактичного  мягкого  уступчивого  подчиняемого .самого начала муж определяет жене роль избалованного ребенка  желания капризы которого исполняются беспрекословно .Длительное отсутствие дефлорации браке ухудшает межличностные отношения  ставит жену привилегированное положение человека  требующего повышенной чуткости  способствует  бегству болезнь .Подобная виргогамия  девственный брак  длиться годами .Вагинизм обычно возникает началом половой жизни .отдельных случаях развивается внезапно  неожиданно пациентки момент болезненной дефлорации .Мягкие  тактичные мужья настаивают коитусе .последующих попытках повторяется .дальнейшем вагинизм проявляется гинекологическом исследовании .Отсутствие дефлорации браке тяжело переживается  сексуальная адаптация пары происходит уровне петтинга вестибулярного коитуса  половой член остается преддверии влагалища .Женщины вагинизмом нередко могут испытывать оргазм  обращаться врачу заставляет чувство неполноценности желание иметь ребенка .Вагинизм следует дифференцировать псевдовагинизма  боль попытке интроекции  судорожный спазм оборонительная  реакция женщины вторичны  обусловлены поражением генитосегментарной составляющей  дефекты развития  кольпиты   спаечный процесс другие гинекологические заболевания  делающие коитус резко болезненным .Кроме  вагинизм необходимо дифференцировать коитофобии   боязни боли половом акте  препятствующей осуществлению сопровождающейся судорожным сокращением мышц влагалища .Сходные вагинизмом явления могут вызваны неправильными действиями  обусловленными незнанием обоими партнерами анатомии половых органов .случае достаточно однократной коррекции  восстановилась сексуальная функция .Лечение вагинизма требует врача настойчивости терпения .Недопустима примитивная  психотерапия  виде упреков насмешек .Основным методом лечения является рациональная суггестивная психотерапия  также специальная тренировка  направленная устранение страха половым актом связанного этим непроизвольного сокращения мышц сведения бедер .облегчения исследования проведения сеансов тренировки больной предлагают напрягать мышцы брюшного пресса  тужиться   ведет расслаблению мышц таза  являющихся антагонистами .время сеансов больную убеждают безболезненности введения влагалище сначала одного пальца  двух расширителей Гегара  постепенно вводят толстые расширители .целью уменьшения чувства страха могут рекомендованы транквилизаторы  феназепам  тазепам .отдельных случаях  резко выраженном вагинизме коитофобии  сохраненной девственной плеве показана хирургическая дефлорация .наличии психопатологической симптоматики применяют нейролептические средства  терален  френолон  антидепрессанты  азафен  амитриптилин  течение     нед  постепенно снижая дозу .Назначают обезболивающие средства  анестезии  новокаин  виде мазей микроклизм . .
"

Органическое бредовое [шизофреноподобное] расстройство
",http://www.prostodoctor.com.ua/spravochniki/bolezni/id/284,Эпидемиология .Бредовой синдром  сопровождающий сложные парциальные судорожные синдромы  чаще встречается женщин .Этиология .Этиологическими факторами являются органические поражения  особенности теменной височной областей правого полушария .Синдром встречается височной эпилепсии хорее Гентингтона .Клиника .Бредовые идеи появляются отсутствие нарушений сознания  хотя могут наблюдаться умеренные признаки когнитивного дефицита .могут рудиментарными  систематизированными  содержание разнообразно  хотя чаще встречаются идеи преследования .Содержание идей созвучно личностной проблематике  усилить сходство бредовыми синдромами иной этиологии .Речь бессвязной  моторика колебаться адинамии гиперактивности  часто сопутствует дисфорический фон настроения .Течение зависит первопричины  эпилепсии синдром  развиваясь лет начала судорожных проявлений  сохраняться годами  выраженность часто обратно пропорциональна частоте судорожных припадков .Диагноз .Помимо соответствия общим F  критериям  состояние характеризуется следующими признаками     клиническая картина определяется бредовыми идеями разной степени систематизации     сознание нарушено  нарушения памяти отсутствуют .Убедительные данные наличии органического этиологического фактора предопределяют постановку диагноза тех случаях  психические расстройства Соответствуют критериям шизофрении  F    стойкого  F   преходящего  F   бредового расстройства .Дифференциальный диагноз .Основная дифферен цировка проводится бредовыми состояниями параноидной шизофрении .пользу органического бредового синдрома свидетельствовать позднее    лет  появление отсутствии данных шизофрении анамнезе  преобладание слуховых  зрительных сопутствующих галлюцинаций  большая адекватность аффекта лучшая сохранность мышления  разумеется  выявление органического этиологического фактора .делирия синдром позволяет отличить отсутствие колебаний уровня сознания  деменции   отсутствие глобального интеллектуального дефицита  органического галлюциноза   безусловное преобладание бредовых проявлений галлюцинаторными  органического аффективного синдрома   преобладание бредовых симптомов аффективными .Анамнестические данные позволяют дифференцировать синдром бредовых расстройств наркологических заболеваниях  F .Лечение определяется воздействием органическую патологию  симптоматически используются подходы  описанные терапии бредовых состояний шизофрении . .
"

Спастическая кривошея
",http://www.prostodoctor.com.ua/spravochniki/bolezni/id/428,Спастическая кривошея   фокальная сегментарная дистония  вовлекающая мышцы шеи .Встречается чаще других форм  преимущественно женщин возрасте     лет .Выделяют значительно чаще диагностируемую идиопатическую  также симптоматическую формы .Последняя связана воспалительными  травматическими  токсическими поражениями нервной системы  компрессией добавочного нерва .Патогенез остается неясным .Клиническая картина .Развитие  правило  постепенное внезапных поворотов вращательных движений головы  болезненного тонического напряжения мышц шеи .Выделяют тоническую  клоническую смешанную  тонико кло ническую  формы кривошеи .Чаще наблюдается левосторонняя ротация головы  заболевание отличается большей тяжестью  отчетливой прогредиентнос тью меньшей курабельностью .правосторонней кривошее происходит двусторонняя активация мышц  являющаяся компенсаторным механизмом  способствующим уменьшению степени поворота .   больных начале заболевания вырабатываются корригирующие приемы жесты  прикосновение пальцами подбородку  ношение головного убора  высокого воротника .Усиление гиперкинеза отмечается ходьбе  волнении  напряжении внимания  коллективе .Уменьшение выраженности тортиколлиса происходит положении лежа  сне  покое  одиночестве  приема алкоголя .Некоторые пациенты могут небольшое время произвольно подавить гиперкинез  прогрессированием болезни эта способность снижается .Осложнением спастической кривошеи    больных является болевой синдром области шеи .Причина цервикалгии   рано развивающийся остеохондроз .больных характерен астенический тип реагирования  выраженный эмоциональный дискомфорт  внутренняя напряженность .Диагностика обычно особых затруднений вызывает .Степень одновременность вовлечения патологический процесс отдельных мышц объективизируется ЭМГ .Учитывается возможность истерической кривошеи  вынужденного положения головы результате местных травм  врожденных аномалий .Лечение .Клоназепам сочетании миорелаксантами  баклофен  сирдалуд .тонической форме полезны препараты L ДОФА  случае неэффек   тивности   холинолитик тремблекс .Наилучший  хотя временный      мес   эффект достигается инъекции напряженные мышцы ботулинического токсина  ботокса .Дополнительные методы  иглорефлексотерапия  ЛФК  точечный массаж  физиотерапия . .
"

Детская, юношеская и пресенильная катаракта
",http://www.prostodoctor.com.ua/spravochniki/bolezni/id/553,Катаракта   помутнение хрусталика .Детская катаракта довольно редкое  правило  врожденное заболевание .Однако опасность заключается  оно приводит слабовидению слепоте возможного развития тяжелых осложнений   обструкционной амблиопии .Причины Причиной нарушения могут наследственная детерминанта  заболевание матери время беременности  перенесенные плодом инфекционные болезни .соответствии этим различают несколько видов детских катаракт зависимости причины возникновения места локализации .происхождению    врожденные    приобретенные  осложненные  травматические    вторичные  послеоперационные .Симптомы   зрачок малыша черный  серый белесый    ребенок постоянно трет глаза    веки время воспалены    малыш часто прикрывает глаз    трясет головой наклоняет вперед  дело моргает    возрасте двух месяцев узнает маму задерживает взгляд предметах    глаза малыша время  бегают    видимой причины движутся стороны сторону .большинстве случаев врожденная катаракта прогрессирует  мере роста ребенка хрусталик мутнеет .менее  врачи настаивают лечении самого раннего возраста .Дело  полноценного развития глаз должен постоянно получать зрительную стимуляцию .рождения любой ребенок видит предметы нечеткими  слегка размытыми .Полноценное зрение сформируется двум годам   условии  глаз неустанно трудится .хрусталик мутный  сетчатка оказывается темноте клетки получают должной нагрузки .врожденной катаракте  первые года глаз научится работать  работать .Лечение Сегодня существует лекарств  которые возвращают хрусталику прозрачность .Поэтому пути   либо попробовать приспособиться жизни мутным хрусталиком  либо удалить . .
